What is/are the animal in the image,10
What is/are the color of the leaves ,18
What is/are something behinds the cat,6
What is/are under the cat animal,30
which direction is/are the animal facing,33
What does the background have,2
what is/are the color of the animal,14
Which direction is/are the cat looking,36
What behinds the kitty,0
What is/are the formal name of this/are cat like animal,23
What is/are the color of the the leaves,19
What is/are in the background,4
What is/are the time ,28
What type is/are the cat,32
what is/are the color of the animal,13
What is/are on the backgound,5
which direction is/are the cat facing,34
Which direction is/are this/are cat looking at,37
What is/are the pattern of the cat,25
What is/are the time ,29
